Rainfall - (MM), Year, Statistics, Country, ISO3
6.39295, 1945, Aug Average, Afghanistan, AFG
2.52283, 1945, Sep Average, Afghanistan, AFG
2.80363, 1945, Oct Average, Afghanistan, AFG
31.8959, 1945, Nov Average, Afghanistan, AFG
29.8693, 1945, Dec Average, Afghanistan, AFG
48.0644, 1946, Jan Average, Afghanistan, AFG
49.3394, 1946, Feb Average, Afghanistan, AFG
41.4995, 1946, Mar Average, Afghanistan, AFG
9.88154, 1946, Apr Average, Afghanistan, AFG
5.08394, 1946, May Average, Afghanistan, AFG
2.76426, 1946, Jun Average, Afghanistan, AFG
3.7986, 1946, Jul Average, Afghanistan, AFG
7.6926, 1946, Aug Average, Afghanistan, AFG
0.98284, 1946, Sep Average, Afghanistan, AFG
6.15211, 1946, Oct Average, Afghanistan, AFG
8.32606, 1946, Nov Average, Afghanistan, AFG
23.8258, 1946, Dec Average, Afghanistan, AFG
64.9885, 1947, Jan Average, Afghanistan, AFG
61.8389, 1947, Feb Average, Afghanistan, AFG
44.9589, 1947, Mar Average, Afghanistan, AFG
17.4212, 1947, Apr Average, Afghanistan, AFG
13.8483, 1947, May Average, Afghanistan, AFG
2.65055, 1947, Jun Average, Afghanistan, AFG
5.54006, 1947, Jul Average, Afghanistan, AFG
4.13876, 1947, Aug Average, Afghanistan, AFG
2.37138, 1947, Sep Average, Afghanistan, AFG
2.68142, 1947, Oct Average, Afghanistan, AFG
14.5389, 1947, Nov Average, Afghanistan, AFG
19.5435, 1947, Dec Average, Afghanistan, AFG
22.0829, 1948, Jan Average, Afghanistan, AFG
40.3637, 1948, Feb Average, Afghanistan, AFG
54.3782, 1948, Mar Average, Afghanistan, AFG
56.4413, 1948, Apr Average, Afghanistan, AFG
9.95143, 1948, May Average, Afghanistan, AFG
7.41887, 1948, Jun Average, Afghanistan, AFG
6.85155, 1948, Jul Average, Afghanistan, AFG
5.91395, 1948, Aug Average, Afghanistan, AFG
3.4736, 1948, Sep Average, Afghanistan, AFG
5.65534, 1948, Oct Average, Afghanistan, AFG
5.37307, 1948, Nov Average, Afghanistan, AFG
56.4895, 1948, Dec Average, Afghanistan, AFG
37.5549, 1949, Jan Average, Afghanistan, AFG
37.5221, 1949, Feb Average, Afghanistan, AFG
77.9951, 1949, Mar Average, Afghanistan, AFG
41.9345, 1949, Apr Average, Afghanistan, AFG
14.2096, 1949, May Average, Afghanistan, AFG
12.9764, 1949, Jun Average, Afghanistan, AFG
4.05645, 1949, Jul Average, Afghanistan, AFG
6.75056, 1949, Aug Average, Afghanistan, AFG
2.45458, 1949, Sep Average, Afghanistan, AFG
2.69212, 1949, Oct Average, Afghanistan, AFG
6.59548, 1949, Nov Average, Afghanistan, AFG
25.0518, 1949, Dec Average, Afghanistan, AFG
83.6959, 1950, Jan Average, Afghanistan, AFG
35.0608, 1950, Feb Average, Afghanistan, AFG
44.8572, 1950, Mar Average, Afghanistan, AFG
42.6754, 1950, Apr Average, Afghanistan, AFG
24.383, 1950, May Average, Afghanistan, AFG
3.56267, 1950, Jun Average, Afghanistan, AFG
7.68687, 1950, Jul Average, Afghanistan, AFG
